id,name,size,city,employee_count
6369,Tata Technologies,7,"Hinjawadi, Pune",3735
6411,Oregon Department of Transportation,5,Salem,24034
6419,HARMAN International,7,Stamford,12471
6428,Hatch,6,Mississauga,1839
6440,Zimmer Biomet,7,Warsaw,25888
6449,ERM,6,London,10932
6464,University of North Texas,5,Denton,17550
6476,Loyola Medicine,6,Maywood,9564
6481,Microchip Technology Inc.,7,Chandler,11624
6487,DaVita Kidney Care,7,Denver,2038
6497,24 Hour Fitness,6,Carlsbad,15936
6504,UT Southwestern Medical Center,7,Dallas,33814
6515,Select Medical,7,Mechanicsburg,8904
6547,Gallagher,7,Rolling Meadows,15662
